,Title,Rank,Year,Duration,Gener,Rating,Director,Star1,Star2,Star3,Star4,Votes,Year obj,label
6464,Amar,100,2017,105.0,Drama,5.2,Esteban Crespo,María Pedraza,Pol Monen,Natalia Tena,Greta Fernández,4034,2010-2022,6.0
6465,Hampstead,27,2017,102.0,Comedy,6.0,Joel Hopkins,James Norton,Brendan Gleeson,Diane Keaton,Adeel Akhtar,5390,2010-2022,6.0
6466,Órbita 9,70,2017,95.0,Drama,5.9,Hatem Khraiche,Clara Lago,Álex González,Andrés Parra,Belén Rueda,7041,2010-2022,6.0
6467,24 Hours to Live,83,2017,93.0,Action,5.8,Brian Smrz,Ethan Hawke,Qing Xu,Paul Anderson,Rutger Hauer,13352,2010-2022,6.0
6468,Beyond Skyline,87,2017,106.0,Action,5.3,Liam O'Donnell,Frank Grillo,Bojana Novakovic,Jonny Weston,Callan Mulvey,20298,2010-2022,6.0
6469,Berlin Syndrome,91,2017,116.0,Drama,6.3,Cate Shortland,Teresa Palmer,Max Riemelt,Matthias Habich,Emma Bading,23282,2010-2022,6.0
6470,Wonder Wheel,95,2017,101.0,Drama,6.2,Woody Allen,Justin Timberlake,Juno Temple,Robert C. Kirk,Kate Winslet,26580,2010-2022,6.0
6471,Disobedience,45,2017,114.0,Drama,6.6,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Anton Lesser,26895,2010-2022,6.0
6472,CHIPS,78,2017,100.0,Action,6.0,Dax Shepard,Michael Peña,Dax Shepard,Vincent D'Onofrio,Rosa Salazar,44184,2010-2022,6.0
6473,Rough Night,76,2017,101.0,Comedy,5.2,Lucia Aniello,Scarlett Johansson,Kate McKinnon,Zoë Kravitz,Ilana Glazer,48765,2010-2022,6.0
6474,The Upside,46,2017,126.0,Comedy,7.0,Neil Burger,Kevin Hart,Bryan Cranston,Nicole Kidman,Aja Naomi King,49285,2010-2022,6.0
6475,47 Meters Down,88,2017,89.0,Adventure,5.7,Johannes Roberts,Mandy Moore,Claire Holt,Matthew Modine,Chris Johnson,50726,2010-2022,6.0
6476,Ferdinand,90,2017,108.0,Animation,6.7,Carlos Saldanha,John Cena,Kate McKinnon,Bobby Cannavale,Jack Gore,51250,2010-2022,6.0
6477,Battle of the Sexes,98,2017,121.0,Biography,6.7,Jonathan Dayton,Valerie Faris,Emma Stone,Steve Carell,Andrea Riseborough,51820,2010-2022,6.0
6478,I Don't Feel at Home in This World Anymore,97,2017,93.0,Comedy,6.9,Macon Blair,Melanie Lynskey,Chris Doubek,Marilyn Faith Hickey,Jared Roylance,51822,2010-2022,6.0
6479,1922,89,2017,102.0,Crime,6.3,Zak Hilditch,Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard,56194,2010-2022,6.0
6480,Pitch Perfect 3,67,2017,93.0,Comedy,5.8,Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,Anna Camp,58317,2010-2022,6.0
6481,Only the Brave,81,2017,134.0,Action,7.6,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,61413,2010-2022,6.0
6482,Paddington 2,99,2017,103.0,Animation,7.8,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,65901,2010-2022,6.0
6483,American Assassin,49,2017,111.0,Action,6.2,Michael Cuesta,Dylan O'Brien,Michael Keaton,Sanaa Lathan,Taylor Kitsch,75286,2010-2022,6.0
6484,Hostiles,53,2017,134.0,Drama,7.2,Scott Cooper,Scott Shepherd,Rosamund Pike,Ava Cooper,Stella Cooper,75766,2010-2022,6.0
6485,Shot Caller,72,2017,121.0,Crime,7.3,Ric Roman Waugh,Nikolaj Coster-Waldau,Omari Hardwick,Lake Bell,Jon Bernthal,76432,2010-2022,6.0
6486,Cars 3,44,2017,102.0,Animation,6.7,Brian Fee,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion,82265,2010-2022,6.0
6487,xXx: Return of Xander Cage,42,2017,107.0,Action,5.2,D.J. Caruso,Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu,87616,2010-2022,6.0
6488,The Death of Stalin,66,2017,107.0,Comedy,7.2,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Jeffrey Tambor,Andrea Riseborough,92185,2010-2022,6.0
6489,Gerald's Game,52,2017,103.0,Drama,6.5,Mike Flanagan,Carla Gugino,Bruce Greenwood,Chiara Aurelia,Carel Struycken,94766,2010-2022,6.0
6490,Fifty Shades Darker,48,2017,118.0,Drama,4.6,James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,Eloise Mumford,94833,2010-2022,6.0
6491,Geostorm,55,2017,109.0,Action,5.3,Dean Devlin,Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara,99092,2010-2022,6.0
6492,Good Time,56,2017,102.0,Crime,7.4,Benny Safdie,Josh Safdie,Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,99545,2010-2022,6.0
6493,The Florida Project,61,2017,111.0,Drama,7.6,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,100466,2010-2022,6.0
6494,Gifted,71,2017,101.0,Drama,7.6,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,105080,2010-2022,6.0
6495,You Were Never Really Here,60,2017,89.0,Crime,6.8,Lynne Ramsay,Joaquin Phoenix,Judith Roberts,Ekaterina Samsonov,John Doman,109303,2010-2022,6.0
6496,What Happened to Monday,82,2017,123.0,Action,6.9,Tommy Wirkola,Noomi Rapace,Glenn Close,Willem Dafoe,Marwan Kenzari,111859,2010-2022,6.0
6497,The Boss Baby,5,2017,97.0,Animation,6.3,Tom McGrath,Alec Baldwin,Steve Buscemi,Jimmy Kimmel,Lisa Kudrow,114013,2010-2022,6.0
6498,Phantom Thread,51,2017,130.0,Drama,7.5,Paul Thomas Anderson,Vicky Krieps,Daniel Day-Lewis,Lesley Manville,Julie Vollono,117577,2010-2022,6.0
6499,Annabelle: Creation,43,2017,109.0,Horror,6.5,David F. Sandberg,Anthony LaPaglia,Samara Lee,Miranda Otto,Brad Greenquist,119311,2010-2022,6.0
6500,Happy Death Day,63,2017,96.0,Comedy,6.6,Christopher Landon,Jessica Rothe,Israel Broussard,Ruby Modine,Charles Aitken,123348,2010-2022,6.0
6501,The Big Sick,80,2017,120.0,Comedy,7.5,Michael Showalter,Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano,125374,2010-2022,6.0
6502,The Dark Tower,85,2017,95.0,Action,5.6,Nikolaj Arcel,Idris Elba,Matthew McConaughey,Tom Taylor,Dennis Haysbert,131330,2010-2022,6.0
6503,The Killing of a Sacred Deer,36,2017,121.0,Drama,7.0,Yorgos Lanthimos,Barry G. Bernson,Herb Caillouet,Bill Camp,Raffey Cassidy,131540,2010-2022,6.0
6504,The Lego Batman Movie,69,2017,104.0,Animation,7.3,Chris McKay,Will Arnett,Michael Cera,Rosario Dawson,Ralph Fiennes,135096,2010-2022,6.0
6505,Logan Lucky,32,2017,118.0,Comedy,7.0,Steven Soderbergh,Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie,137052,2010-2022,6.0
6506,Transformers: The Last Knight,47,2017,154.0,Action,5.2,Michael Bay,Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock,139790,2010-2022,6.0
6507,The Post,41,2017,116.0,Drama,7.2,Steven Spielberg,Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk,140948,2010-2022,6.0
6508,The Disaster Artist,79,2017,104.0,Biography,7.4,James Franco,James Franco,Dave Franco,Ari Graynor,Seth Rogen,142689,2010-2022,6.0
6509,Molly's Game,28,2017,140.0,Biography,7.4,Aaron Sorkin,Jessica Chastain,Idris Elba,Kevin Costner,Michael Cera,152438,2010-2022,6.0
6510,American Made,58,2017,115.0,Action,7.2,Doug Liman,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons,165178,2010-2022,6.0
6511,Valerian and the City of a Thousand Planets,59,2017,136.0,Action,6.5,Luc Besson,Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna,167980,2010-2022,6.0
6512,Baywatch,8,2017,116.0,Action,5.5,Seth Gordon,Dwayne Johnson,Zac Efron,Alexandra Daddario,Priyanka Chopra Jonas,169456,2010-2022,6.0
6513,The Mummy,65,2017,111.0,Action,5.4,Alex Kurtzman,Tom Cruise,Sofia Boutella,Annabelle Wallis,Russell Crowe,176871,2010-2022,6.0
6514,Darkest Hour,62,2017,125.0,Biography,7.4,Joe Wright,Gary Oldman,Lily James,Kristin Scott Thomas,Ben Mendelsohn,178842,2010-2022,6.0
6515,Atomic Blonde,57,2017,115.0,Action,6.7,David Leitch,Charlize Theron,James McAvoy,John Goodman,Eddie Marsan,181635,2010-2022,6.0
6516,"I, Tonya",22,2017,119.0,Biography,7.5,Craig Gillespie,Margot Robbie,Sebastian Stan,Allison Janney,Julianne Nicholson,192400,2010-2022,6.0
6517,King Arthur: Legend of the Sword,31,2017,126.0,Action,6.7,Guy Ritchie,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou,199343,2010-2022,6.0
6518,Mother!,24,2017,121.0,Drama,6.6,Darren Aronofsky,Jennifer Lawrence,Javier Bardem,Ed Harris,Michelle Pfeiffer,199544,2010-2022,6.0
6519,The Hitman's Bodyguard,2,2017,118.0,Action,6.9,Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Elodie Yung,202010,2010-2022,6.0
6520,Ghost in the Shell,54,2017,107.0,Action,6.3,Rupert Sanders,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche,202129,2010-2022,6.0
6521,The Fate of the Furious,4,2017,136.0,Action,6.6,F. Gary Gray,Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez,213995,2010-2022,6.0
6522,Wind River,40,2017,107.0,Crime,7.7,Taylor Sheridan,Elizabeth Olsen,Jeremy Renner,Graham Greene,Kelsey Asbille,217027,2010-2022,6.0
6523,Murder on the Orient Express,39,2017,114.0,Crime,6.5,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench,220540,2010-2022,6.0
6524,Call Me by Your Name,11,2017,132.0,Drama,7.9,Luca Guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar,227945,2010-2022,6.0
6525,War for the Planet of the Apes,86,2017,140.0,Action,7.4,Matt Reeves,Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval,235042,2010-2022,6.0
6526,The Greatest Showman,10,2017,105.0,Biography,7.6,Michael Gracey,Hugh Jackman,Michelle Williams,Zac Efron,Zendaya,250319,2010-2022,6.0
6527,Lady Bird,38,2017,94.0,Comedy,7.4,Greta Gerwig,Saoirse Ronan,Laurie Metcalf,Tracy Letts,Lucas Hedges,253992,2010-2022,6.0
6528,Alien: Covenant,20,2017,122.0,Horror,6.4,Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride,261253,2010-2022,6.0
6529,Pirates of the Caribbean: Dead Men Tell No Tales,25,2017,129.0,Action,6.5,Joachim Rønning,Espen Sandberg,Johnny Depp,Geoffrey Rush,Javier Bardem,274594,2010-2022,6.0
6530,Kingsman: The Golden Circle,12,2017,141.0,Action,6.7,Matthew Vaughn,Taron Egerton,Colin Firth,Mark Strong,Channing Tatum,285290,2010-2022,6.0
6531,Kong: Skull Island,34,2017,118.0,Action,6.6,Jordan Vogt-Roberts,Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly,292421,2010-2022,6.0
6532,Jumanji: Welcome to the Jungle,16,2017,119.0,Action,6.9,Jake Kasdan,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,334989,2010-2022,6.0
6533,John Wick: Chapter 2,33,2017,122.0,Action,7.5,Chad Stahelski,Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose,384380,2010-2022,6.0
6534,The Shape of Water,29,2017,123.0,Adventure,7.3,Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones,385652,2010-2022,6.0
6535,Justice League,26,2017,120.0,Action,6.1,Zack Snyder,Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller,418115,2010-2022,6.0
6536,"Three Billboards Outside Ebbing, Missouri",35,2017,115.0,Comedy,8.1,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,455160,2010-2022,6.0
6537,Baby Driver,13,2017,113.0,Action,7.6,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,464940,2010-2022,6.0
6538,Blade Runner 2049,7,2017,164.0,Action,8.0,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,485047,2010-2022,6.0
6539,Spider-Man: Homecoming,3,2017,133.0,Action,7.4,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,539244,2010-2022,6.0
6540,Star Wars: Episode VIII - The Last Jedi,23,2017,152.0,Action,7.0,Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,580189,2010-2022,6.0
6541,Dunkirk,19,2017,106.0,Action,7.8,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,581231,2010-2022,6.0
6542,Guardians of the Galaxy Vol. 2,9,2017,136.0,Action,7.6,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,595539,2010-2022,6.0
6543,Wonder Woman,17,2017,141.0,Action,7.4,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Lucy Davis,599267,2010-2022,6.0
6544,Thor: Ragnarok,1,2017,130.0,Action,7.9,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,626411,2010-2022,6.0
6545,Logan,18,2017,137.0,Action,8.1,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,673593,2010-2022,6.0
6546,Wij,82,2018,100.0,Drama,5.7,Rene Eller,Aimé Claeys,Tijmen Govaerts,Pauline Casteleyn,Maxime Jacobs,2252,2010-2022,6.0
6547,Charlie Says,34,2018,110.0,Biography,5.8,Mary Harron,Hannah Murray,Matt Smith,Sosie Bacon,Marianne Rendón,3434,2010-2022,6.0
6548,Trautmann,43,2018,120.0,Biography,7.3,Marcus H. Rosenmüller,David Kross,Freya Mavor,John Henshaw,Harry Melling,3993,2010-2022,6.0
6549,The Other Side of the Wind,44,2018,122.0,Drama,6.8,Orson Welles,John Huston,Oja Kodar,Peter Bogdanovich,Susan Strasberg,6623,2010-2022,6.0
6550,Red Joan,44,2018,101.0,Biography,6.4,Trevor Nunn,Judi Dench,Sophie Cookson,Stephen Campbell Moore,Tom Hughes,10512,2010-2022,6.0
6551,Then Came You,87,2018,97.0,Adventure,7.0,Peter Hutchings,Asa Butterfield,Maisie Williams,Nina Dobrev,Ken Jeong,10698,2010-2022,6.0
6552,Slaughterhouse Rulez,79,2018,104.0,Action,5.3,Crispian Mills,Jassa Ahluwalia,Asa Butterfield,Jamie Blackley,Finn Cole,13205,2010-2022,6.0
6553,Between Earth and Sky,81,2018,97.0,Crime,5.8,Veena Sud,Peter Sarsgaard,Mireille Enos,Joey King,Cas Anvar,13698,2010-2022,6.0
6554,Keepers,12,2018,107.0,Crime,5.8,Kristoffer Nyholm,Peter Mullan,Gerard Butler,Emma King,Gary Lewis,14765,2010-2022,6.0
6555,Life Itself,91,2018,117.0,Drama,6.9,Dan Fogelman,Oscar Isaac,Olivia Wilde,Annette Bening,Mandy Patinkin,18814,2010-2022,6.0
6556,The Clovehitch Killer,51,2018,109.0,Crime,6.6,Duncan Skiles,Dylan McDermott,Charlie Plummer,Samantha Mathis,Madisen Beaty,21102,2010-2022,6.0
6557,Midnight Sun,88,2018,91.0,Drama,6.6,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Quinn Shephard,26170,2010-2022,6.0
6558,The Strangers: Prey at Night,85,2018,85.0,Horror,5.2,Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Lewis Pullman,28307,2010-2022,6.0
6559,Blindspotting,93,2018,95.0,Comedy,7.4,Carlos López Estrada,Daveed Diggs,Rafael Casal,Janina Gavankar,Jasmine Cephas Jones,28652,2010-2022,6.0
6560,The Titan,94,2018,97.0,Drama,4.8,Lennart Ruff,Sam Worthington,Taylor Schilling,Tom Wilkinson,Agyness Deyn,29181,2010-2022,6.0
6561,High Life,97,2018,113.0,Adventure,5.8,Claire Denis,Robert Pattinson,Juliette Binoche,André 3000,Mia Goth,30923,2010-2022,6.0
6562,Replicas,47,2018,107.0,Drama,5.5,Jeffrey Nachmanoff,Keanu Reeves,Alice Eve,Thomas Middleditch,John Ortiz,34172,2010-2022,6.0
6563,Under the Silver Lake,27,2018,139.0,Crime,6.5,David Robert Mitchell,Andrew Garfield,Riley Keough,Topher Grace,Callie Hernandez,35956,2010-2022,6.0
6564,Peter Rabbit,49,2018,95.0,Animation,6.6,Will Gluck,James Corden,Fayssal Bazzi,Domhnall Gleeson,Sia,38016,2010-2022,6.0
6565,The Guernsey Literary and Potato Peel Pie Society,83,2018,124.0,Drama,7.4,Mike Newell,Jessica Brown Findlay,Tom Courtenay,Michiel Huisman,Katherine Parkinson,39270,2010-2022,6.0
6566,The Girl in the Spider's Web,55,2018,115.0,Action,6.1,Fede Alvarez,Claire Foy,Beau Gadsdon,Sverrir Gudnason,LaKeith Stanfield,43533,2010-2022,6.0
6567,Mary Queen of Scots,80,2018,124.0,Biography,6.3,Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Joe Alwyn,45087,2010-2022,6.0
6568,Leave No Trace,40,2018,109.0,Adventure,7.2,Debra Granik,Thomasin McKenzie,Ben Foster,Jeffery Rifflard,Derek John Drescher,53563,2010-2022,6.0
6569,Mid90s,89,2018,85.0,Comedy,7.4,Jonah Hill,Sunny Suljic,Katherine Waterston,Lucas Hedges,Na-kel Smith,54033,2010-2022,6.0
6570,Hunter Killer,66,2018,121.0,Action,6.6,Donovan Marsh,Gerard Butler,Gary Oldman,Common,Linda Cardellini,57598,2010-2022,6.0
6571,The First Purge,23,2018,97.0,Action,5.2,Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Steve Harris,57620,2010-2022,6.0
6572,Fifty Shades Freed,46,2018,105.0,Drama,4.5,James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,Eloise Mumford,58738,2010-2022,6.0
6573,Hotel Transylvania 3: Summer Vacation,41,2018,97.0,Animation,6.3,Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,61612,2010-2022,6.0
6574,Outlaw King,59,2018,121.0,Action,6.9,David Mackenzie,Chris Pine,Stephen Dillane,Rebecca Robin,Billy Howle,63494,2010-2022,6.0
6575,The House That Jack Built,28,2018,152.0,Crime,6.8,Lars von Trier,Matt Dillon,Bruno Ganz,Uma Thurman,Siobhan Fallon Hogan,63683,2010-2022,6.0
6576,Death Wish,6,2018,107.0,Action,6.3,Eli Roth,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,Camila Morrone,67276,2010-2022,6.0
6577,Robin Hood,3,2018,116.0,Action,5.3,Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Eve Hewson,67488,2010-2022,6.0
6578,Eighth Grade,35,2018,93.0,Comedy,7.4,Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Jake Ryan,67715,2010-2022,6.0
6579,Capharnaüm,61,2018,126.0,Drama,8.4,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,71046,2010-2022,6.0
6580,12 Strong,72,2018,130.0,Action,6.6,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,Navid Negahban,71411,2010-2022,6.0
6581,The Kissing Booth,32,2018,105.0,Comedy,6.0,Vince Marcello,Joey King,Jacob Elordi,Joel Courtney,Megan du Plessis,71440,2010-2022,6.0
6582,Mile 22,64,2018,94.0,Action,6.1,Peter Berg,Mark Wahlberg,Lauren Cohan,Iko Uwais,John Malkovich,71905,2010-2022,6.0
6583,Mary Poppins Returns,58,2018,130.0,Comedy,6.7,Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Emily Mortimer,80061,2010-2022,6.0
6584,Mamma Mia! Here We Go Again,22,2018,114.0,Comedy,6.6,Ol Parker,Lily James,Amanda Seyfried,Meryl Streep,Cher,84469,2010-2022,6.0
6585,Overlord,63,2018,110.0,Action,6.6,Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Pilou Asbæk,90964,2010-2022,6.0
6586,Instant Family,68,2018,118.0,Comedy,7.3,Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Merced,Gustavo Escobar,96525,2010-2022,6.0
6587,The Cloverfield Paradox,98,2018,102.0,Action,5.5,Julius Onah,Gugu Mbatha-Raw,David Oyelowo,Daniel Brühl,John Ortiz,98209,2010-2022,6.0
6588,Den of Thieves,71,2018,140.0,Action,7.0,Christian Gudegast,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,50 Cent,98457,2010-2022,6.0
6589,"Love, Simon",74,2018,110.0,Comedy,7.6,Greg Berlanti,Nick Robinson,Jennifer Garner,Josh Duhamel,Katherine Langford,103506,2010-2022,6.0
6590,Creed II,96,2018,130.0,Drama,7.1,Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,110905,2010-2022,6.0
6591,Mortal Engines,84,2018,128.0,Action,6.1,Christian Rivers,Hera Hilmar,Robert Sheehan,Hugo Weaving,Jihae,115288,2010-2022,6.0
6592,The Predator,4,2018,107.0,Action,5.3,Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key,119998,2010-2022,6.0
6593,Maze Runner: The Death Cure,65,2018,143.0,Action,6.3,Wes Ball,Dylan O'Brien,Ki Hong Lee,Kaya Scodelario,Thomas Brodie-Sangster,120844,2010-2022,6.0
6594,The Mule,57,2018,116.0,Crime,7.0,Clint Eastwood,Clint Eastwood,Patrick L. Reyes,Cesar De León,Gustavo Muñoz,121142,2010-2022,6.0
6595,The Nun,30,2018,96.0,Horror,5.3,Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Bonnie Aarons,126509,2010-2022,6.0
6596,The Ballad of Buster Scruggs,52,2018,133.0,Comedy,7.3,Ethan Coen,Joel Coen,Tim Blake Nelson,Willie Watson,Clancy Brown,129709,2010-2022,6.0
6597,Sicario: Day of the Soldado,48,2018,122.0,Action,7.1,Stefano Sollima,Benicio Del Toro,Josh Brolin,Isabela Merced,Jeffrey Donovan,132025,2010-2022,6.0
6598,Bad Times at the El Royale,45,2018,141.0,Crime,7.1,Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Jon Hamm,135085,2010-2022,6.0
6599,A Simple Favor,37,2018,117.0,Comedy,6.8,Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Andrew Rannells,135737,2010-2022,6.0
6600,Ralph Breaks the Internet,90,2018,112.0,Animation,7.0,Phil Johnston,Rich Moore,John C. Reilly,Sarah Silverman,Gal Gadot,140015,2010-2022,6.0
6601,The Equalizer 2,77,2018,121.0,Action,6.7,Antoine Fuqua,Denzel Washington,Pedro Pascal,Ashton Sanders,Orson Bean,140978,2010-2022,6.0
6602,Isle of Dogs,78,2018,101.0,Animation,7.9,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,147009,2010-2022,6.0
6603,Crazy Rich Asians,11,2018,120.0,Comedy,6.9,Jon M. Chu,Constance Wu,Henry Golding,Michelle Yeoh,Gemma Chan,151296,2010-2022,6.0
6604,The Meg,36,2018,113.0,Action,5.6,Jon Turteltaub,Jason Statham,Bingbing Li,Rainn Wilson,Cliff Curtis,156791,2010-2022,6.0
6605,Upgrade,70,2018,100.0,Action,7.5,Leigh Whannell,Logan Marshall-Green,Melanie Vallejo,Steve Danielsen,Abby Craden,168094,2010-2022,6.0
6606,Red Sparrow,24,2018,140.0,Action,6.6,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Charlotte Rampling,172486,2010-2022,6.0
6607,First Man,95,2018,141.0,Biography,7.3,Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,Kyle Chandler,175677,2010-2022,6.0
6608,The Favourite,38,2018,119.0,Biography,7.5,Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Nicholas Hoult,181000,2010-2022,6.0
6609,Tomb Raider,73,2018,119.0,Action,6.3,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu,196373,2010-2022,6.0
6610,Ocean's Eight,33,2018,110.0,Action,6.3,Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling,196553,2010-2022,6.0
6611,Fantastic Beasts: The Crimes of Grindelwald,39,2018,134.0,Adventure,6.5,David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Johnny Depp,233724,2010-2022,6.0
6612,BlacKkKlansman,42,2018,135.0,Biography,7.5,Spike Lee,John David Washington,Adam Driver,Laura Harrier,Topher Grace,235731,2010-2022,6.0
6613,Hereditary,7,2018,127.0,Drama,7.3,Ari Aster,Toni Collette,Milly Shapiro,Gabriel Byrne,Alex Wolff,257919,2010-2022,6.0
6614,Incredibles 2,54,2018,118.0,Animation,7.6,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,262433,2010-2022,6.0
6615,Jurassic World: Fallen Kingdom,9,2018,128.0,Action,6.2,J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith,276706,2010-2022,6.0
6616,Annihilation,25,2018,115.0,Adventure,6.8,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,Benedict Wong,291693,2010-2022,6.0
6617,Bird Box,31,2018,124.0,Horror,6.6,Susanne Bier,Sandra Bullock,Trevante Rhodes,John Malkovich,Sarah Paulson,295254,2010-2022,6.0
6618,Mission: Impossible - Fallout,15,2018,147.0,Action,7.7,Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,302586,2010-2022,6.0
6619,Solo: A Star Wars Story,19,2018,135.0,Action,6.9,Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover,305423,2010-2022,6.0
6620,Ant-Man and the Wasp,20,2018,118.0,Action,7.0,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,332617,2010-2022,6.0
6621,A Star Is Born,29,2018,136.0,Drama,7.6,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,349476,2010-2022,6.0
6622,Venom,10,2018,112.0,Action,6.7,Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze,386610,2010-2022,6.0
6623,Ready Player One,16,2018,140.0,Action,7.4,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe,387210,2010-2022,6.0
6624,Aquaman,8,2018,143.0,Action,6.9,James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,403581,2010-2022,6.0
6625,Spider-Man: Into the Spider-Verse,13,2018,117.0,Animation,8.4,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,410086,2010-2022,6.0
6626,Green Book,21,2018,130.0,Biography,8.2,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,412619,2010-2022,6.0
